title,ISBN,author,description,link
Тайна заброшенной деревни,978-5-04-091886-7,"Тимошенко Н., Обухова Л.","Отправившись в глухую тайгу, чтобы найти легендарного целителя, команда энтузиастов - исследователей паранормального наткнулась на заброшенную деревню, где стали происходить невероятные события. Глава экспедиции, бывший космонавт Войтех, врач Александра, химик Лиля, ее брат, компьютерщик Иван и Нев, эрудит и знаток фольклора, стали фигурками в чьей-то чужой игре и только от них зависит, будет ли раскрыта тайна забытой деревни и обретут ли покой проклятые души.",https://book24.ru/product/tayna-zabroshennoy-derevni-1893914/
На солнце или в тени,978-5-17-102430-7,"Блок Л., Кинг С., Оутс Дж., Батлер Р., Коннелли М. и др.","Сборник «На солнце и в тени» состоит из семнадцати рассказов крупнейших современных мастеров американской прозы, навеянные картинами всемирно-известного художника из США, Эдварда Хоппера (1882-1967), которые читатель найдет на цветной вклейке.   Классик американской живописи, реалист, прошедший жесткую школу рекламного рисунка, Хоппер создал образ горожанина-одиночки,  погруженного в повседневную рутину, которая словно таит какую-то неясную угрозу.  Времена, на которые пришелся рассвет творчества художника («Бурные двадцатые»,  «Великая депрессия», «Охота на ведьм» и т.д.), разумеется,  предопределили набор тем и общую атмосферу:  более или менее невинные ухищрения разорившихся художников или аристократов, которые пытаются свести концы с концами («Музыкальная комната» Стивена Кинга), тайные любовные похождения образцовых джентльменов («Женщина в окне» Джойса Оутса) и даже дуэли между разведками сверхдержав («Инцидент 10 ноября» Джеффри Дивера).   Порой картина оказывается персонажем рассказа и как бы говорит с героем. Возможно, читателю следует всерьез подумать о том, кто же на полотнах Хоппера он сам, чтобы, наконец, выхватить сюжет собственной жизни из бесконечной игры света и тени. Самую, пожалуй, мрачную — ""Комнату в Нью-Йорке"" — выбрал Стивен Кинг, подаривший сборнику зловещий рассказ о семье Эндерби — и о их способе выжить во времена Великой депрессии. Самая изысканная — ""Одиннадцать утра"" — вдохновила ""живого классика"" американской литературы Джойс Кэрол Оутс на элегантную и безжалостную историю, где практически стирается тонкая грань между любовью, ненавистью и… преступлением. А самая знаменитая из картин — ""Полуночники"" — ""досталась"" Майклу Коннелли. И это справедливо: кому, как не любителю джаза, детективу Гарри Босху, и пытаться разгадать тайну этого полотна? Также в работы Эдварда Хоппера вдохнули ""литературную жизнь"" Джеффри Дивер, Ли Чайлд и Лоренс Блок. Хотя, возможно, читатель увидит в его картинах ""свою"" историю, которая будет ждать, чтобы ее рассказали…",https://book24.ru/product/na-solntse-ili-v-teni-1737516/
Три дня до небытия,978-5-17-098758-0,Пауэрс Тим,"Когда к Дафне Маррити попадает странный фильм, вызывающий у людей приступы пирокинеза, сжигающие все вокруг, она и ее отец Фрэнк попадают в центр мирового заговора, в котором участвуют не только государственные спецслужбы, но и тайное общество, созданное еще в Средневековье. Вскоре на отца совершает нападение слепая убийца, а с Дафной прямо из выключенного телевизора говорит призрак, и постепенно Маррити понимают, что подлинная история XX века имеет мало общего с той, что изложена в учебниках, а реальность гораздо страшнее, чем кажется. Только это еще полбеды, ведь теперь отец и дочь стали участниками жуткой игры, поражение в которой хуже смерти, так как им в руки попал ключ к уничтожению не только того, что будет, но и того, что уже было. И все это както связано с последним изобретением Альберта Эйнштейна, Чарли Чаплином и ""Бурей"" Уильяма Шекспира.",https://book24.ru/product/tri-dnya-do-nebytiya-1923676/
Самая страшная книга 2018,978-5-17-982949-2,"Уманский А., Рэйн О., Искров А., Костюкевич Д. и др.","""Этопять"", как пишут в Интернете. Это юбилейная пятая ежегодная антология лучших новых рассказов в жанре хоррора, мистики и триллера. Книга, пропустить которую вы не имеете права.  Это девятнадцать — ""волшебное"" число Стивена Кинга — девятнадцать историй, от которых мурашки бегут по коже.  Это сто — сто процентов ужасов и кошмаров прошлого, настоящего, будущего, среди которых наверняка есть и ваш персональный кошмар.  Это три. И это тысячи. Три слова — Самая Страшная Книга,— которые стали паролем доступа в мир сверхъестественного для тысяч и тысяч читателей.  Мы вновь открываем портал в темное измерение. Рискнете ли вы заглянуть сюда?",https://book24.ru/product/samaya-strashnaya-kniga-2018-1761385/
Правила готической игры,978-5-699-98360-5,Велес А.,"Новая серия для всех поклонников детективного городского фэнтези! Существует ли потусторонний мир или это просто антураж для оставшихся в далеком прошлом готических романов? Герои остросюжетных книг из серии «Готический детектив» точно знают ответ на этот вопрос. Они обладают магическими способностями и распутывают странные преступления, которые никак нельзя объяснить законами реального мира. ""Бюро магических услуг"" берется за новое расследование с ореолом мистики. Но хозяйка бюро Елена Давыдова уверена, что загадочное убийство девушки, у которой нашли на шее следы укуса, не имеет никакого отношения к вампирам. Жертва принадлежала к молодежной субкультуре готов, которые в кровопийцев лишь играют. Однако, как выяснили штатные маги бюро, вампирами и их атрибутикой в их городе увлекаются не только подростки, но и солидные бизнесмены. Существует даже элитный клуб, который накануне смерти посещала убитая. А один из его членов возомнил себя господином и счел, что имеет право распоряжаться чужими жизнями…",https://book24.ru/product/pravila-goticheskoy-igry-1665256/
Абандон. Брошенный город,978-5-699-99664-3,Крауч Блейк,"Жанр: психологический триллер Автор: Блейк Крауч – американский прозаик, получивший всемирную известность благодаря трилогии «Сосны», адаптированной в 2015 году в формате телесериала, который был признан самым ярким дебютом среди всех сериалов телекомпании FOX. О книге: «Абандон. Брошенный город» – третий по счету роман Крауча, захватывающий триллер о загадочных событиях столетней давности в маленьком шахтерском городке, затерянном в горах. Однажды, отпраздновав Рождество, все его жители бесследно исчезли. Узнать, что произошло, никому так и не удалось, и Абандон превратился в город-призрак. В наши дни в Абандон приезжает изучавший его историю профессор Лоренс Кендал с дочерью, парой супругов-фотографов и проводниками, они надеются разгадать зловещую тайну исчезнувших жителей. Но, оказывается, больше мертвых нужно опасаться живых… Дословно: «Крауч пишет так, что у вас волосы встают на затылке. Тонкий психолог, он по-настоящему пугает не паранормальными явлениями, но мраком, что таился в людских душах и вырвался наружу».  (Amazon.com) Рождественским днем 1893 года все население небольшого шахтерского городка Абандон в горах Колорадо бесследно исчезло. Все мужчины, женщины и дети словно испарились, бросив накрытыми праздничные столы в своих остывших домишках. Поисковая группа, отправленная на поиски людей, назад не вернулась. Загадка Абандона так и осталась нераскрытой, а люди нарекли его проклятым городом. И вот, через сто тридцать лет, в те края собралась новая группа, которую возглавили профессор истории и его дочь-журналистка. Теперь, среди брошенных руин и снежного безмолвия гор, они пытаются найти хоть какой-нибудь след, ведущий к разгадке. Им пока еще невдомек, что они здесь не одни. И что прошлое мертвого города более чем живо…",https://book24.ru/product/abandon-broshennyy-gorod-1653353/
"Обещай, что никому не скажешь",978-5-699-99005-4,Макмахон Дженнифер,"Кейт Сайфер возвращается в город своего детства, чтобы присматривать за пожилой матерью, но сталкивается с неожиданно враждебным отношением местных жителей. Оказывается, недавно в окрестностях была убита девочка, и ее смерть подозрительно похожа на несчастный случай, который произошел много лет назад с Дел Гризуолд, одноклассницей Кейт. Эта история положила начало городской легенде о загадочной Картофельной девочке, которая бродит в одиночестве по лесам. Кейт, конечно, не верит в призраков, но когда Ник, старший брат Дел, приходит к ней и просит связаться с погибшей сестрой, здравый рассудок Кейт подвергается серьезному испытанию.",https://book24.ru/product/obeshchay-chto-nikomu-ne-skazhesh-1624547/
На краю всего,978-5-699-99795-4,Джайлс Джефф,"﻿Для Зои Биссел это был год, полный потрясений. Смерть отца, исчезновение соседей, дружба с которыми помогала вынести удары судьбы. Затем жестокое нападение в лесу во время бурана и чудесное спасение таинственным охотником за головами, прозванным ею Икс. Икс  — обитатель Низин, одной из областей Ада, посланный за душой напавшего на Зои. Ему запрещено раскрывать себя кому-либо, кроме его добычи, но он нарушает адские  правила ради девушки. Когда они узнают больше о своих мирах, то начинают сомневаться в прошлом, своей судьбе и будущем. Но побег из Низин и незримые путы, которые связывают Икса, могут потребовать принести в жертву самое дорогое... Впервые на русском языке!",https://book24.ru/product/na-krayu-vsego-1649427/
Льдинка,978-5-04-004280-7,Варго Александр,"Как весело мчаться по заснеженной тайге на быстрых снегоходах! Молодых людей вовсе не пугают плотные тени деревьев, и глубокие снежные заносы, и кромешная тьма вокруг, и даже то, что куда-то вдруг пропала дорога, а мобильный телефон не находит сеть. И даже когда заглохли моторы, парни и девушки не потеряли присутствия духа и пошли по мрачному лесу пешком. Но что за избушка попалась им на пути? Домик лесника? Или приют? Что бы ни было - здесь можно заночевать, благо, в доме оказалась печь и даже дрова. Прочь дурное предчувствие! Кто осмелится обидеть таких здоровых, веселых и смелых молодых людей? Вот только зря они открыли крышку погреба и заглянули в подпол, где в глухой тишине застыла вязкая, бездонная чернота...",https://book24.ru/product/ldinka-1649334/
Темная башня. Стрелок,978-5-17-104700-9,Кинг Стивен,"Юный Роланд — последний благородный рыцарь в мире, ""сдвинувшемся с места"". Ему во что бы то ни стало нужно найти Темную Башню — средоточие Силы, краеугольный камень мироздания. Когда-нибудь он отыщет эту Башню, а пока ему предстоит долгий и опасный путь — путь по миру, которым правит черная магия, по миру, из которого порой открываются двери в нашу реальность...",https://book24.ru/product/temnaya-bashnya-strelok-1623650/
Прелесть. Книга первая,978-5-699-97307-1,"Хон Джереми, Хёрли Джейсон А., Роч Джон","Современные люди одержимы своей внешностью. Но что, если бы нашелся способ день ото дня становиться все красивее? Что, если залог тому – болезнь, которая передается половым путем? В мире ""Прелести"" от заурядности до физического совершенства – всего лишь один половой акт. На этот путь встали многие, но какова цена? Детективы Вон и Фостер узнают ужасную правду – и тем самым переходят дорогу продажным политикам, мстительным федеральным агентам и жуткому наемнику, жаждущему получить награду за их головы.",https://book24.ru/product/prelest-kniga-pervaya-1624887/
Чужаки,978-5-04-004480-1,Литтл Бентли,"﻿Во время разгульного отдыха на знаменитом фестивале в пустыне ""Горящий человек"" у Гэри пропала девушка. Будто ее никогда и не существовало: исчезли все профили в социальных сетях и все официальные записи, родительский дом абсолютно пуст. Единственной зацепкой становятся странные артефакты – свитки с молитвами о защите от неких Чужаков. Когда пораженного содержанием свитков парня похищают неизвестные, он решает, что это Чужаки пришли за ним. Но ему предстоит сделать страшное открытие: Чужак – он сам…",https://book24.ru/product/chuzhaki-1657837/
Дикий пляж,978-5-699-98521-0,Варго Александр,"Группа молодых людей едет отдохнуть на дикий пляж. По пути им встречается цыганка, которая советует отказаться от поездки, но ее слова никто не воспринимает всерьез. Пьянящая молодость не ведает страхов и сомнений! Теплое море, живописный безлюдный берег, величественные горы - что может быть плохого в этом раю? Ничего. Вот только старая легенда гласит о том, что в местном болоте когда-то давно утонула девушка и ее может возродить к жизни свежая кровь. И тогда один из парней вспоминает, что нечаянно уронил в то самое болото платок, которым он останавливал кровь из порезанной руки...",https://book24.ru/product/dikiy-plyazh-1623489/
Самая страшная книга. Лучшее,978-5-17-103524-2,"Кузнецов В., Кром И., Витер Д. и др.","Антология? Нет!  Перед вами — антология антологий. Переиздание лучших рассказов из ставших бестселлерами сборников ""Самая страшная книга 2014"", ""Самая страшная книга 2015"", ""Самая страшная книга 2016"", ""Самая страшная книга 2017"", сдобренная ранее не публиковавшимися в этой серии произведениями. Не просто лучшие рассказы ужасов на русском языке, но — лучшие из лучших. Своеобразные итоги работы, проведенной за пять лет существования серии ""ССК"". Авторы и произведения, УЖЕ оставившие неизгладимый след в истории жанра ужасов России и ближнего зарубежья.  Настоящий подарок всем ценителям хоррор-литературы. Самая-самая страшная книга!",https://book24.ru/product/samaya-strashnaya-kniga-luchshee-1623184/
Ведьмы с Восточного побережья,978-5-699-63858-1,де ла Круз Мелисса,"Впервые на русском языке! Первый роман нового сериала от создательницы культовой ""Голубой крови"". Маленький, ничем не примечательный городок на Лонг-Айленде. И его на первый взгляд тоже ничем не примечательные жительницы - женщины семейства Бошан - Джоанна и ее взрослые дочери, Ингрид и Фрейя. Ингрид работает в библиотеке, Фрейя - в баре, Джоанна тоже не сидит без дела, занимается огородом и постоянно переделывает старый дом на берегу Атлантического океана. Но их настоящая стихия - магия, ведь они вовсе не обычные люди, а бессмертные древнейшие создания, называемые то ведьмами, то валькириями…",https://book24.ru/product/vedmy-s-vostochnogo-poberezhya-586584/
Вся правда во мне,978-5-17-089429-1,Берри Дж.,"«Это мрачная история о тайнах и утратах, о мужестве и любви». - The Guardian  Я не верю в чудеса, но если очень нужно, девушка вполне может сотворить чудо сама.  Я люблю тебя так сильно, что больше уже невозможно, но понять до конца все равно не могу.  Четыре года назад Джудит исчезла. Бесследно. Но однажды она появляется на пороге своего дома - изуродованная и немая. Все, кого она знала, отвернулись от нее. Джудит становится изгоем, призраком, невидимкой, обретая новую свободу: видеть то, чего не замечают остальные. И когда над ее городом и юношей, которого она, вопреки всему, продолжает любить, нависает новая угроза, ей придется сделать выбор: хранить молчание или заговорить, даже если это навсегда изменит ее жизнь.  Тайны, страсть и самопожертвование. И правда, которую ничем не удержать. Дебютный роман американской писательницы Джулии Берри переведен на 12 языков. Джудит живет в маленьком городке. Однажды она бесследно исчезает и возвращается два года спустя — изуродованная и немая. Семья и друзья отвернулись от нее. В родном городке она стала чем-то вроде призрака. Но когда в Розуэлле снова начинаются нападения на людей, Джудит придется сделать выбор: хранить молчание или заговорить, даже если это навсегда изменит ее жизнь.",https://book24.ru/product/vsya-pravda-vo-mne-597778/
Повелители стихий. Книга 4. Наступление бури,978-5-699-58000-2,Кейн Р.,"Джоанн Болдуин — в прошлом Хранитель, а ныне, ассистентка ведущего прогноза погоды — снова попадает в переплет. Кажется, в солнечной Флориде всем есть до нее дело: бывшие соратники-хранители подозревают, что Джоанн насылает ураганы, полицейский обвиняет в убийстве своего напарника, Джинны и вовсе хотят уничтожить. А тут ещё сестра, как снег на голову, приезжает из Калифорнии... Остается только, сцепив зубы, отчаянно бороться за своего ребенка, защищать свою любовь и вновь искать справедливости. А над побережьем, тем временем, действительно формируется новый страшный ураган...",https://book24.ru/product/poveliteli-stikhiy-kniga-4-nastuplenie-buri-575749/
Ад & Рай,978-5-271-40111-4,Зотов Георгий Александрович,"Под станциями московского метро - пентаграмма из бункеров Ада. На главных проспектах столицы - явочные квартиры ангелов Рая. Но управляет Москвой незримая, третья сила. Та, что обратила в пепел Вавилон, и Карфаген. Символ ее власти - хрустальные шары над городом. Однако трое соперников вынуждены объединиться. Против чего? Этой проблемы никто не ждал. Но она способна уничтожить ВСЕХ.  Увлекательно. Неполиткорректно. Скандально. И обалденно смешно! Новый взрыв мозга от мастера черного юмора - это настоящая жесть! АД & РАЙ ГАРАНТИРУЮТ - СКУЧНО НЕ БУДЕТ.",https://book24.ru/product/ad-ray-568148/
Круги на воде,978-5-17-090631-4,Назаров Вадим,"Это подлинное туземное сочинение, ярчайший образчик литературы питерского темного царства, мистическая густопсовая проза –  на черепахе, трех слонах и батарейке ""Варта"" держащаяся; что-то дремучее и неправдоподобное. Я думаю, этот текст очень понравился бы Борхесу - даже не за литературные достоинства, а за дерзание. Л. Данилкин Роман-путешествие по истинным границам мира – от Юга до Севера, от Ада до Рая. Священная история волков – от Сотворения до новой эры. Биография Каина. Жизнеописание трех Ангелов. Поход к истокам восьми рек.",https://book24.ru/product/krugi-na-vode-534423/
Повелители стихий. Книга 3. Когти ифрита,978-5-699-54387-8,Рэйчел Кейн,"Природа ополчилась против человечества. Землетрясения, климатические аномалии, разрушительные смерчи больше не подчиняются повелителям стихий. А виноват в этом взбалмошный мальчишка, который похитил силу у самого могущественного жреца и поработил самого главного джинна.  Пытаясь усмирить его, Джоанн Болдуин оказывается обманутой и преданной теми, кому доверяла. В поисках правды она попадает в странное общество пожилых джентльменов, которые, как выясняется, задумали ни много ни мало — одолеть жрецов Погоды и управлять миром...",https://book24.ru/product/poveliteli-stikhiy-kniga-3-kogti-ifrita-554768/
Темные ритуалы,978-5-17-100266-4,Джим Батчер,"Сьюки Стэкхаус, официантка с паранормальными способностями. Гарри Дрезден, боевой маг и частный детектив. Рэйчел Морган, бывший сотрудник розыскного отдела Внутриземной Безопасности, ныне владелица охранно-сыскного агентства. Все они имеют дело с самыми опасными существами на планете: ВАМПИРАМИ и ДЕМОНАМИ. Все они ежедневно вынуждены вмешиваться в ритуалы темной магии, предотвращая злодеяния алчных чудовищ. И пускай каждое такое вмешательство может стать для них последним, сильные духом никогда не сдаются! Ведь от их действий зависят судьбы миллионов обычных людей, даже не подозревающих о грядущем апокалипсисе…",https://book24.ru/product/temnye-ritualy-294205/
"Монстролог. Ступени, ведущие в бездну",978-5-17-094195-7,Рик Янси,"«Ученик монстролога» «Проклятие Вендиго» «Кровавый остров» «Ступени, ведущие в бездну»  Таинственный монстролог доктор Уортроп и его ученик, сирота Уилл Генри, охотятся на чудовищ, разгадывают тайны, терзающие человечество, и приближаются к ответу на самые важные вопросы.  Что же такое настоящий монстр? Кого можно считать чудовищем? И зачем инфернальные создания приходят в наш мир? Кем мы были до встречи с ними? И кем станем после?..  «Блестящий роман ужасов. И это блеск хирургической стали». - FantLab  «Одержимость своим делом, любовь к риску, азарт и специфическое, беспощадное чувство юмора - перед нами еще один Доктор. Монстролог Пеллинор Уортроп мог бы составить прекрасную компанию доктору Хаусу и доктору Кто. Книга для настоящих ценителей классического жесткого хоррора«. - LiveLib  Рик Янси удостоен премии Michael L. Printz за достижения в молодежной литературе.  www.rickyancey.com Таинственный монстролог доктор Уортроп и его ученик, сирота Уилл Генри, охотятся на чудовищ, разгадывают тайны, терзающие человечество, и приближаются к ответу на самые важные вопросы. Что же такое настоящий монстр? Кого можно считать чудовищем? И зачем инфернальные создания приходят в наш мир? Кем мы были до встречи с ними? И кем станем после?..",https://book24.ru/product/monstrolog-stupeni-vedushchie-v-bezdnu-481643/
Дракула,978-5-17-072207-5,Стокер Брэм,"Причудливую, эстетскую, декадентскую и пугающую ис-торию самого знаменитого вампира в мире, графа Влада Дра-кулы, экранизировали величайшие режиссеры мира. На нее написаны десятки пастишей и продолжений, ее пытаются имитировать и пародировать. Однако очарование самой книги Брэма Стокера, во всем ее мрачном великолепии, не поддает-ся до конца даже самому высокому режиссерскому искусству и стоит много выше самых изощренных литературных подделок.",https://book24.ru/product/drakula-515010/
Куколка,978-5-699-92369-4,Варго А.,"Фотограф Роберт, отдыхая в парке, случайно снял на свой фотоаппарат пробегающую мимо жизнерадостную девочку. Рассматривая дома фотографию, Роберт в ужасе понял, что девочка вовсе не улыбалась, как ему показалось сначала. У нее был разрезан рот. От уха до уха. Фотограф отправился в парк, где в заброшенном старинном доме нашел куклу. Он явно не ведал, что творил, когда решил принести эту игрушку домой…",https://book24.ru/product/kukolka-277828/
Ночные кошмары и фантастические видения,978-5-17-091759-4,Кинг Стивен,"Один из самых успешных сборников рассказов Стивена Кинга: он номинировался на ""Британскую премию фэнтези"" и ""Всемирную премию фэнтези"", пять историй из него были включены в сериал ""Ночные кошмары и фантастические видения по рассказам Стивена Кинга"", а в 2009 году последовала и полнометражная экранизация новеллы ""Кадиллак"" Долана"".  Неверный поворот на дороге приводит супружескую пару в городок под названием Рок-н-ролльные Небеса — и внезапно поездка оборачивается сущим адом… Бывший заключенный по кусочкам собирает карту местонахождения зарытого клада — но за сокровища ему придется заплатить слишком высокую цену… Писатель меняется местами со своим персонажем — и оказывается заточен в прошлом… Стивен Кинг возьмет вас в путешествие в свой мир, мир, где ночные кошмары становятся реальностью и так легко утратить спокойный сон…",https://book24.ru/product/nochnye-koshmary-i-fantasticheskie-videniya-208021/
Надвигается беда,978-5-699-91399-2,Брэдбери Рэй,"Завертелась жуткая карусель, в зловещий Зеркальный лабиринт вошли первые посетители — это приехал разъездной карнавал. Маленький городок оказался во власти злых и жестоких сил, и только чистые душой способны спасти жителей от превращения в ужасных уродцев.",https://book24.ru/product/nadvigaetsya-beda-220052/
Пост сдал,978-5-17-097402-3,Кинг Стивен,"В больничной палате номер 217 пробудилось нечто ужасное. Нечто, скрывающееся внутри Брейди Хартсфилда, одержимого маньяка по прозвищу Мистер Мерседес. Хотя  он по-прежнему не в состоянии говорить и двигаться, его сознание бодрствует.  Но кто способен даже на мгновение предположить, что за потрясшей город серией таинственных смертей стоит  беспомощный теперь преступник? Разве что коп в отставке Билл Ходжес, которому дважды доводилось иметь дело с Мистером Мерседесом. Наступает момент, когда он понимает: Зло, таящееся в глубинах сознания этого монстра, приняло совершенно особую форму.  Как же остановить убийцу, вышедшего за грани возможного для обычного человека?..",https://book24.ru/product/post-sdal-238100/
Самая страшная книга. 13 ведьм,978-5-17-098485-5,Парфенов М. (сост.),"13 авторов. 13 историй. 13 ведьм. Сколько жив людской род — столько верит человек в потустороннее. Верит — и боится. Дрожит от страха перед тем, что за гранью. Страшится того, чего не может объяснить и понять. Силу, которая нашему разуму неподвластна. Так было во времена стародавние, так бывает ныне, так будет вовеки. Но во все времена, в любую эпоху живут среди нас те, кто держат в руках нити, связующие два мира, по эту и по ту сторону. Знахарки, колдуньи и экстрасенсы... Ведьмы. Ты боишься их? Зря... Не боишься? Тебе же хуже!",https://book24.ru/product/samaya-strashnaya-kniga-13-vedm-235394/
Дзюсан. Академия-фантом,978-5-17-098657-6,"Наумова Сора, Дубинина Мария Александровна","Расследование пропажи сестры приводит бывшего детектива Генри Макалистера на одинокий остров в Японском море, в Дзюсан - элитную Академию для особенных подростков. Здесь оживают вековые тайны, бесследно исчезают люди, а призраки бродят по коридорам старинного особняка. Но Генри еще не подозревает, что угодил в паутину, выбраться из которой сложно не только живым, но и мертвым...",https://book24.ru/product/dzyusan-akademiya-fantom-203981/
Ночной Дозор,978-5-17-084407-4,Лукьяненко Сергей Васильевич,"""Ночной Дозор"".  История вечного противостояния Светлых и Темных магов. Тайные боевые операции, жестокие интриги и высокая политика, белое пламя любви и ненависти, где плавятся судьбы людей и Иных, отстаивающих свою истину...",https://book24.ru/product/nochnoy-dozor-203158/
Океан в конце дороги,978-5-17-084302-2,Гейман Нил,"Нил Гейман - знаменитый английский писатель, автор книг для детей и взрослых, серий комиксов, сценариев фильмов, нескольких эпизодов культового британского телесериала «Доктор Кто» и мультфильма «Коралина». Его романы и сборники рассказов стали бестселлерами и получили множество международных премий.  По мотивам романа «Океан в конце дороги» готовится экранизация: продюсером выступит Том Хэнкс, а режиссером - Джо Райт (известный по таким кинокартинам, как «Анна Каренина», «Искупление», «Гордость и предубеждение».  «Океан в конце дороги» вроде простая сказка о ведьмах и колдунах, а на самом деле - указатель в бездну, откуда приходят все детские кошмары». - GQ  «Изумительно глубокий роман заставит читателя любого возраста прыгнуть в обволакивающий океан реальности и волшебства, в океан, омывающий границы миров». - Elle  «Нил Гейман - сокровищница историй». - Стивен Кинг  Тэги: Нил Гейман, Океан в конце дороги, The Ocean at the End of the Lane, Американские боги, Никогде, Коралина Захватывающая сказка-миф от знаменитого автора ""Сыновей Ананси"" и ""Американских богов"". Блестяще рассказанная история одинокого ""книжного"" мальчика, имени которого читатель так и не узнает, но в котором безошибочно угадываются черты самого Нила Геймана.",https://book24.ru/product/okean-v-kontse-dorogi-203707/
